_id,question,output,A,B,C,D,answer
65e9748ba37212ec0ec8f5b6,"public class XyzMiddle {\n    public static void main(String[] args) {\n        System.out.println(hasXyzMiddle(""AAxyzBB"")); \n        System.out.println(hasXyzMiddle(""AxyzBB""));\n        System.out.println(hasXyzMiddle(""AxyzBBB"")); \n        System.out.println(hasXyzMiddle(""xyz""));\n        System.out.println(hasXyzMiddle(""xyza""));\n    }\n\n    public static boolean hasXyzMiddle(String str) {\n        if (str.length() < 3) {\n            return false;\n        }\n\n        for (int i = 0; i <= str.length() - 3; i++) {\n            if (str.substring(i, i + 3).equals(""xyz"")) {\n                int leftLength = i;\n                int rightLength = str.length() - (i + 3);\n                if (Math.abs(leftLength - rightLength) <= 1) {\n                    return true;\n                }\n            }\n        }\n\n        return false;\n    }\n}",true\ntrue\nfalse\ntrue\ntrue,true\ntrue,true\ntrue\nfalse,true\ntrue\nfalse\ntrue\ntrue,false\ntrue\ntrue,C
65e9748ba37212ec0ec8f5b7,"import java.util.HashMap;\nimport java.util.Map;\n\npublic class SwapMatchingStrings {\n    public static void main(String[] args) {\n        String[] strings = {""abc"", ""xyz"", ""axx"", ""bbb"", ""ccc"", ""abc"", ""xzz""};\n        swapMatchingStrings(strings);\n       \n        for (String str : strings) {\n            System.out.print(str + "" "");\n        }\n    }\n\n    public static void swapMatchingStrings(String[] strings) {\n        Map<Character, Integer> firstCharIndexMap = new HashMap<>();\n       \n        for (int i = 0; i < strings.length; i++) {\n            char firstChar = strings[i].charAt(0);\n           \n            if (firstCharIndexMap.containsKey(firstChar)) {\n                int prevIndex = firstCharIndexMap.get(firstChar);\n                String temp = strings[prevIndex];\n                strings[prevIndex] = strings[i];\n                strings[i] = temp;\n               \n                firstCharIndexMap.remove(firstChar);\n            } else {\n                firstCharIndexMap.put(firstChar, i);\n            }\n        }\n    }\n}",axx xzz abc bbb ccc abc xyz,axx xzz abc bbb ccc abc,axx xzz abc,axx xzz abc bbb ccc abc xyz,axx,C
65e9748ba37212ec0ec8f5b8,"import java.util.*;\n\npublic class MergeArrays {\n    public static void main(String[] args) {\n        String[] A = {""a"", ""c"", ""e""};\n        String[] B = {""b"", ""d"", ""f""};\n        int N = 3;\n        String[] result = mergeArrays(A, B, N);\n        System.out.println(Arrays.toString(result));\n    }\n\n    public static String[] mergeArrays(String[] A, String[] B, int N) {\n        Set<String> mergedSet = new HashSet<>();\n       \n        List<String> mergedList = new ArrayList<>();\n       \n        int i = 0, j = 0;\n       \n        while (mergedSet.size() < N && i < A.length && j < B.length) {\n            int compareResult = A[i].compareTo(B[j]);\n           \n            if (compareResult < 0) {\n                mergedSet.add(A[i]);\n                mergedList.add(A[i]);\n                i++;\n            } else if (compareResult > 0) {\n                mergedSet.add(B[j]);\n                mergedList.add(B[j]);\n                j++;\n            } else {\n                mergedSet.add(A[i]);\n                mergedList.add(A[i]);\n                i++;\n                j++;\n            }\n        }\n       \n        while (mergedSet.size() < N && i < A.length) {\n            mergedSet.add(A[i]);\n            mergedList.add(A[i]);\n            i++;\n        }\n       \n        while (mergedSet.size() < N && j < B.length) {\n            mergedSet.add(B[j]);\n            mergedList.add(B[j]);\n            j++;\n        }\n       \n        String[] result = new String[mergedList.size()];\n        mergedList.toArray(result);\n       \n        return result;\n    }\n}","[a, b, c]","[a, b, ]","[a, b, c]","[a, c]","[b, c]",B
65e9748ba37212ec0ec8f5b9,"public class ScoresSpecial {\n    public static void main(String[] args) {\n        int[] A = {12, 34, 56, 78, 90, 10};\n        int[] B = {10, 20, 30, 40, 50,60};\n        System.out.println(scoresSpecial(A, B));\n    }\n\n    public static int scoresSpecial(int[] A, int[] B) {\n        int maxSpecialA = findLargestSpecial(A);\n        int maxSpecialB = findLargestSpecial(B);\n       \n        return maxSpecialA + maxSpecialB;\n    }\n\n    public static int findLargestSpecial(int[] scores) {\n        int maxSpecial = 0;\n       \n        for (int score : scores) {\n            if (score % 10 == 0 && score > maxSpecial) {\n                maxSpecial = score;\n            }\n        }\n       \n        return maxSpecial;\n    }\n}",150,140,130,110,150,D
65e9748ba37212ec0ec8f5ba,"import java.util.HashMap;\nimport java.util.Map;\n\npublic class FoodMap {\n    public static void main(String[] args) {\n        Map<String, String> foodMap = new HashMap<>();\n        foodMap.put(""potato"", ""ketchup"");\n        foodMap.put(""salad"", ""ranch"");\n       \n        Map<String, String> modifiedMap = modifyFoodMap(foodMap);\n       \n        System.out.println(modifiedMap);\n    }\n\n    public static Map<String, String> modifyFoodMap(Map<String, String> foodMap) {\n        Map<String, String> modifiedMap = new HashMap<>(foodMap);\n       \n        if (foodMap.containsKey(""potato"")) {\n            String potatoValue = foodMap.get(""potato"");\n            modifiedMap.put(""fries"", potatoValue);\n        }\n       \n        if (foodMap.containsKey(""salad"")) {\n            String saladValue = foodMap.get(""salad"");\n            modifiedMap.put(""spinach"", saladValue);\n        }\n       \n        return modifiedMap;\n    }\n}","{fries=ketchup, spinach=ranch, salad=ranch, potato=ketchup}","{fries=ketchup, spinach=ranch, salad=ranch, potato=ketchup}","{fries=ranch, spinach=ranch, salad=ranch, potato=ranch}","{fries=ketchup, spinach=ketchup, salad=ketchup, potato=ketchup}","{fries=ketchup, spinach=ranch, salad=ranch, potato=ranch}",A
65e9748ba37212ec0ec8f5bb,"#include <stdio.h>\n#include <math.h>\n\ndouble calculateDistance(double x1, double y1, double x2, double y2) {\n    return sqrt(pow(x2 - x1, 2) + pow(y2 - y1, 2));\n}\n\nint main() {\n    double x1, y1, x2, y2;\n\nint value = ""point1=5,6"";\nint value = ""point2=4,8"";\n\n    double distance = calculateDistance(x1, y1, x2, y2);\n\n    printf(""Distance between the two points: %lf\n"", distance);\n\n    return 0;\n}",Enter the coordinates of point 1 (x1 y1): 5\n6\nEnter the coordinates of point 2 (x2 y2): 4\n8\nDistance between the two points: 2.236068,Enter the coordinates of point 1 (x1 y1): 6\n7\nEnter the coordinates of point 2 (x2 y2): 8\n9\nDistance between the two points: 2.236069,Enter the coordinates of point 1 (x1 y1): 5\n6\nEnter the coordinates of point 2 (x2 y2): 4\n8\nDistance between the two points: 2.236068,Enter the coordinates of point 1 (x1 y1): 9\n6\nEnter the coordinates of point 2 (x2 y2): 4\n7\nDistance between the two points: 2.236067,Enter the coordinates of point 1 (x1 y1): 5\n6\nEnter the coordinates of point 2 (x2 y2): 4\n8\nDistance between the two points: 2.256068,B
65e9748ba37212ec0ec8f5bc,"public class Blackjack {\n    public static void main(String[] args) {\n        System.out.println(blackjack(19, 21));\n        System.out.println(blackjack(21, 19));\n        System.out.println(blackjack(22, 22));\n    }\n\n    public static int blackjack(int a, int b) {\n        if (a > 21 && b > 21) {\n            return 0;\n        }\n       \n        if (a > 21) {\n            return b;\n        }\n        if (b > 21) {\n            return a;\n        }\n       \n        return Math.max(a, b);\n    }\n}",21\n21\n0,21\n20\n0,21,21\n0,21\n21\n0,D
65e9748ba37212ec0ec8f5bd,"import java.util.Arrays;\n\npublic class EndyNumbers {\n    public static void main(String[] args) {\n        int[] nums = {9, 11, 90, 101, 0, 12, 100};\n        int count = 3;\n        int[] result = firstEndy(nums, count);\n        System.out.println(Arrays.toString(result));\n    }\n\n    public static int[] firstEndy(int[] nums, int count) {\n        int[] endyArray = new int[count];\n        int found = 0;\n        int i = 0;\n\n        while (found < count && i < nums.length) {\n            if (isEndy(nums[i])) {\n                endyArray[found] = nums[i];\n                found++;\n            }\n            i++;\n        }\n\n        return endyArray;\n    }\n\n    public static boolean isEndy(int n) {\n        return (n >= 0 && n <= 10) || (n >= 90 && n <= 100);\n    }\n}","9,90,0","8,9,90","[9, ,0]","9,90,0","9,90",C
65e9748ba37212ec0ec8f5be,"public class SplitArrayEqualSum {\n    public static boolean canSplitArray(int[] nums) {\n        int totalSum = 0;\n        for (int num : nums) {\n            totalSum += num;\n        }\n       \n        int leftSum = 0;\n        for (int i = 0; i < nums.length; i++) {\n            leftSum += nums[i];\n            if (leftSum == totalSum - leftSum) {\n                return true;\n            }\n        }\n       \n        return false;\n    }\n\n    public static void main(String[] args) {\n        int[] nums = {1, 2, 3, 4, 5, 5};\n        System.out.println(""Can split array: "" + canSplitArray(nums));\n    }\n}",Can split array: true,Can split array: true,Can split array: false,FALSE,none of the above,A
65e9748ba37212ec0ec8f5bf,"public class BrickProblem {\n\n    public static boolean makeRow(int small, int big, int goal) {\n        int maxBigBricksNeeded = goal / 5;\n        int bigBricksUsed = Math.min(maxBigBricksNeeded, big);\n        goal -= bigBricksUsed * 5;\n        return small >= goal;\n    }\n\n    public static void main(String[] args) {\n        int small = 3; \n        int big = 2;   \n        int goal = 10; \n\n        if (makeRow(small, big, goal)) {\n            System.out.println(""Yes, it's possible to achieve the goal!"");\n        } else {\n            System.out.println(""No, it's not possible to achieve the goal."");\n        }\n    }\n}","Yes, it's possible to achieve the goal!","No, it's possible to achieve the goal!","Yes, it's  not  possible to achieve the goal!","Yes, it's possible to achieve the goal!",none of the above,C
65e9748ba37212ec0ec8f5c0,"public class EvenlySpaced {\n\n    public static boolean areEvenlySpaced(int a, int b, int c) {\n        int temp;\n        if (a > b) {\n            temp = a;\n            a = b;\n            b = temp;\n        }\n        if (b > c) {\n            temp = b;\n            b = c;\n            c = temp;\n        }\n        if (a > b) {\n            temp = a;\n            a = b;\n            b = temp;\n        }\n        return (b - a) == (c - b);\n    }\n\n    public static void main(String[] args) {\n        int a = 4, b = 6, c = 2;\n\n        if (areEvenlySpaced(a, b, c)) {\n            System.out.println(""The numbers are evenly spaced."");\n        } else {\n            System.out.println(""The numbers are not evenly spaced."");\n        }\n    }\n}",The numbers are evenly spaced.,The numbers are even spaced.,The numbers are evenly spaced.,The numbers are not evenly spaced.,The numbers are evenly sapce,B
65e9748ba37212ec0ec8f5c1,"public class UserComparator {\n    public static int compareUsers(String nameA, int idA, String nameB, int idB) {\n        int nameComparison = nameA.compareTo(nameB);\n        if (nameComparison == 0) {\n            return Integer.compare(idA, idB);\n        }\n        return nameComparison < 0 ? -1 : 1;\n    }\n    public static void main(String[] args) {\n        String nameA = ""John"";\n        int idA = 101;\n        String nameB = ""Jane"";\n        int idB = 102;\n        System.out.println(compareUsers(nameA, idA, nameB, idB)); \n        String nameC = ""John"";\n        int idC = 103;\n        System.out.println(compareUsers(nameA, idA, nameC, idC)); \n    }\n}",1\n-1,-2,1\n1,-1,1\n-1,D
65e9748ba37212ec0ec8f5c2,"public class UserComparator {\n    public static int compareUsers(String nameA, int idA, String nameB, int idB) {\n        int nameComparison = nameA.compareTo(nameB);\n       \n        if (nameComparison != 0) {\n            return nameComparison;\n        } else {\n            return Integer.compare(idA, idB);\n        }\n    }\n\n    public static void main(String[] args) {\n        String nameA = ""Alice"";\n        int idA = 123;\n        String nameB = ""Bob"";\n        int idB = 456;\n\n        System.out.println(compareUsers(nameA, idA, nameB, idB));\n    }\n}",-1,-1,1,0,0,A
65e9748ba37212ec0ec8f5c3,"import java.util.Arrays;\n\npublic class FirstTwoElements {\n    public static int[] firstTwo(int[] nums) {\n        if (nums.length >= 2) {\n            return Arrays.copyOfRange(nums, 0, 2);\n        } else {\n            return nums;\n        }\n    }\n\n    public static void main(String[] args) {\n        int[] array1 = {1, 2, 3, 4, 5};\n        int[] array2 = {7};\n        int[] array3 = {0};\n\n        System.out.println(""First two elements of array1: "" + Arrays.toString(firstTwo(array1))); // Output: [1, 2]\n        System.out.println(""First two elements of array2: "" + Arrays.toString(firstTwo(array2))); // Output: [7]\n        System.out.println(""First two elements of array3: "" + Arrays.toString(firstTwo(array3))); // Output: []\n    }\n}","First two elements of array1: [1, 2]\nFirst two elements of array2: [7]\nFirst two elements of array3: [0]","First two elements of array1: [1, 2]\nFirst two elements of array2: [6]\nFirst two elements of array3: [9]","First two elements of array1: [1, 2]\nFirst two elements of array2: [9]\nFirst two elements of array3: [0]","First two elements of array1: [1, 1]\nFirst two elements of array2: [9]\nFirst two elements of array3: [0]","First two elements of array1: [1, 2]\nFirst two elements of array2: [7]\nFirst two elements of array3: [0]",D
65e9748ba37212ec0ec8f5c4,"import java.util.ArrayList;\nimport java.util.Arrays;\nimport java.util.List;\nimport java.util.stream.Collectors;\n\npublic class StringModifier {\n\n    public static List<String> appendYExcludeYY(List<String> strings) {\n        return strings.stream()\n                      .map(s -> s + ""y"") \n                      .filter(s -> !s.contains(""yy"")) \n                      .collect(Collectors.toList());\n    }\n    public static void main(String[] args) {\n        List<String> inputStrings = Arrays.asList(""may"", ""bay"", ""lay"", ""stay"");\n        List<String> output = appendYExcludeYY(inputStrings);\n        System.out.println(output); \n    }\n}",,(),{}_,[],**,C
