_id,question,output,A,B,C,D,answer
65e952e8a37212ec0ec8f53a,"#include <stdio.h>\n\nvoid mystery(int n) {\n    if (n > 1) {\n        mystery(n / 2);\n        mystery(n / 2);\n    }\n    printf(""%d "", n);\n}\n\nint main() {\n    mystery(4);\n    return 0;\n}",1 1 2 1 1 2 4,3 1 2 1 2 2 4,1 2 1 1 2 2 3,1 1 2 3 1 2 4,1 1 2 1 1 2 4,D
65e952e8a37212ec0ec8f53b,"#include<stdio.h>\nmain()\n{\n      int i=5;\n      printf(""%d"",++i + ++i + ++i);\n}",22,22,46,31,15,A
65e952e8a37212ec0ec8f53c,"#include <stdio.h>\n#include <stdbool.h> \n#include <limits.h>\n\n#define V 9\n\nint minDistance(int dist[], bool sptSet[]) {\n    int min = INT_MAX, min_index;\n\n    for (int v = 0; v < V; v++)\n        if (sptSet[v] == false && dist[v] <= min)\n            min = dist[v], min_index = v;\n\n    return min_index;\n}\n\nvoid printSolution(int dist[], int n) {\n    printf(""Vertex   Distance from Source\n"");\n    for (int i = 0; i < V; i++)\n        printf(""%d \t\t %d\n"", i, dist[i]);\n}\n\nvoid dijkstra(int graph[V][V], int src) {\n    int dist[V];\n    bool sptSet[V];\n\n    for (int i = 0; i < V; i++)\n        dist[i] = INT_MAX, sptSet[i] = false;\n\n    dist[src] = 0;\n\n    for (int count = 0; count < V - 1; count++) {\n        int u = minDistance(dist, sptSet);\n        sptSet[u] = true;\n\n        for (int v = 0; v < V; v++)\n            if (!sptSet[v] && graph[u][v] && dist[u] != INT_MAX && dist[u] + graph[u][v] < dist[v])\n                dist[v] = dist[u] + graph[u][v];\n    }\n\n    printSolution(dist, V);\n}\n\nint main() {\n    int graph[V][V] = {{0, 4, 0, 0, 0, 0, 0, 8, 0},\n                       {4, 0, 8, 0, 0, 0, 0, 11, 0},\n                       {0, 8, 0, 7, 0, 4, 0, 0, 2},\n                       {0, 0, 7, 0, 9, 14, 0, 0, 0},\n                       {0, 0, 0, 9, 0, 10, 0, 0, 0},\n                       {0, 0, 4, 14, 10, 0, 2, 0, 0},\n                       {0, 0, 0, 0, 0, 2, 0, 1, 6},\n                       {8, 11, 0, 0, 0, 0, 1, 0, 7},\n                       {0, 0, 2, 0, 0, 0, 6, 7, 0}};\n\n    dijkstra(graph, 0);\n\n    return 0;\n}",0    0\n1    4\n2    12\n3    19\n4    21\n5    11\n6    9\n7    8\n8    14,0    0\n1    5\n2    14\n3    20\n4    21\n5    11\n6    9\n7    6\n8    14,0    0\n1    4\n2    12\n3    19\n4    27\n5    11\n6    9\n7    8\n8    12,0    0\n1    4\n2    12\n3    19\n4    21\n5    11\n6    9\n7    8\n8    14,0    0\n1    4\n2    12\n3    15\n4    21\n5    11\n6    9\n7    8\n8    14,C
65e952e8a37212ec0ec8f53d,"#include <stdio.h>\n\nint binarySearch(int arr[], int l, int r, int x) {\n    while (l <= r) {\n        int mid = l + (r - l) / 2;\n\n        if (arr[mid] == x)\n            return mid;\n\n        if (arr[mid] < x)\n            l = mid + 1;\n        else\n            r = mid - 1;\n    }\n\n    return -1;\n}\n\nint main() {\n    int arr[] = {2, 3, 4, 10, 40};\n    int n = sizeof(arr) / sizeof(arr[0]);\n    int x = 10;\n    int result = binarySearch(arr, 0, n - 1, x);\n    if (result == -1)\n        printf(""Element not present in array\n"");\n    else\n        printf(""Element found at index %d\n"", result);\n    return 0;\n}",Element found at index 3,Element found at index 4,Element found at index 3,Element found at index 5,Element found at index 2,B
65e952e8a37212ec0ec8f53e,"#include <stdio.h>\n\nint binarySearch(int arr[], int low, int high, int target) {\n    while (low <= high) {\n        int mid = low + (high - low) / 2;\n        \n        if (arr[mid] == target)\n            return mid;\n        else if (arr[mid] < target)\n            low = mid + 1;\n        else\n            high = mid - 1;\n    }\n\n    return -1; \n}\n\nint findPivot(int arr[], int low, int high) {\n    if (high < low)\n        return -1; \n\n    if (high == low)\n        return low;\n\n    int mid = low + (high - low) / 2;\n\n    if (mid < high && arr[mid] > arr[mid + 1])\n        return mid;\n\n    if (mid > low && arr[mid] < arr[mid - 1])\n        return (mid - 1);\n\n    if (arr[low] >= arr[mid])\n        return findPivot(arr, low, mid - 1);\n    else\n        return findPivot(arr, mid + 1, high);\n}\n\nint pivotedBinarySearch(int arr[], int n, int target) {\n    int pivot = findPivot(arr, 0, n - 1);\n\n    if (pivot == -1)\n        return binarySearch(arr, 0, n - 1, target);\n\n    if (arr[pivot] == target)\n        return pivot;\n\n    if (arr[0] <= target)\n        return binarySearch(arr, 0, pivot - 1, target);\n\n    return binarySearch(arr, pivot + 1, n - 1, target);\n}\n\nint main() {\n    int arr[] = {5, 6, 7, 8, 9, 10, 1, 2, 3};\n    int n = sizeof(arr) / sizeof(arr[0]);\n    int target = 3;\n    int index = pivotedBinarySearch(arr, n, target);\n\n    if (index != -1)\n        printf(""Element %d found at index %d\n"", target, index);\n    else\n        printf(""Element %d not found\n"", target);\n\n    return 0;\n}",Element 3 found at index 8,Element 3 found at index 2,Element 3 found at index 0,Element 3 found at index 5,Element 3 found at index 8,D
65e952e8a37212ec0ec8f53f,"#include <stdio.h>\n\n#define SQUARE(x) x*x\n\nint main() {\n    int a = 5;\n    int b = SQUARE(a + 1);\n    printf(""%d\n"", b);\n    return 0;\n}",11,11,12,13,14,A
65e952e8a37212ec0ec8f540,"#include <stdio.h>\n\n#define STRINGIFY(x) #x\n\nint main() {\n    int num = 434;\n    char* str = STRINGIFY(num);\n    printf(""%s\n"", str);\n    return 0;\n}",num,mun,umn,mnu,num,D
65e952e8a37212ec0ec8f541,"#include <stdio.h>\n\n#define ENCRYPT(str) { \\n    char *p = str; \\n    while (*p != '\0') { \\n        *p = (*p == 'z') ? 'a' : (*p == 'Z') ? 'A' : (*p >= 'a' && *p < 'z') || (*p >= 'A' && *p < 'Z') ? *p + 1 : *p; \\n        p++; \\n    } \\n}\n\nint main() {\n    char text[] = ""Hello, World!"";\n    ENCRYPT(text);\n    printf(""%s\n"", text);\n    return 0;\n}","Ifmmp, Xpsme!","Ifmmp, Xpmse!","Ifmmp, Xpsme!","Ifmpm, Xpsme!","Fimmp, Xpsme!",B
65e952e8a37212ec0ec8f542,"#include <stdio.h>\n\n#define MAX(x, y) (x > y ? x : y)\n\nint main() {\n    int a = 5;\n    int b = 3;\n    int c = MAX(a++, b++);\n    printf(""a = %d, b = %d, c = %d\n"", a, b, c);\n    return 0;\n}","a = 7, b = 4, c = 6","a = 7, b = 5, c = 6","a = 8, b = 4, c = 6","a = 7, b = 4, c = 5","a = 7, b = 4, c = 6",D
65e952e8a37212ec0ec8f543,"char *str = ""Hello, world!"";\nint main() {\n    char *ptr = str;\n    while (*ptr != '\0') {\n        printf(""%c"", *ptr);\n        ptr++;\n    }\n    return 0;\n}","Hello, world!","Hello, world!",Hello world!,"Hello, world",Hello world,A
65e952e8a37212ec0ec8f544,"#include <stdio.h>\n\nint main() {\n  int num1 = 10;\n  float num2 = 5.5;\n  double num3 = 8.999;\n\n  printf(""Integer Number: %d\n"", num1);\n  printf(""Floating Point Number: %f\n"", num2);\n  printf(""Double Number: %lf\n"", num3);\n\n  return 0;\n}",Integer Number: 10\nFloating Point Number: 5.500000\nDouble Number: 8.999000,Integer Number: 10\nFloating Point Number: 5.400000\nDouble Number: 8.999000,Integer Number: 11\nFloating Point Number: 5.500000\nDouble Number: 8.999000,Integer Number: 10\nFloating Point Number: 5.500000\nDouble Number: 8.999000,Integer Number: 10\nFloating Point Number: 5.500000\nDouble Number: 8.000,C
65e952e8a37212ec0ec8f545,"#include <stdio.h>\n\nvoid swap(int *a, int *b) {\n    *a = *a + *b;\n    *b = *a - *b;\n    *a = *a - *b;\n}\n\nint main() {\n    int x = 10, y = 20;\n\n    printf(""Before swapping: x = %d, y = %d\n"", x, y);\n\n    printf(""After swapping: x = %d, y = %d\n"", x, y);\n\n    return 0;\n}","Before swapping: x = 10, y = 20\nAfter swapping: x = 20, y = 10","Before swapping: x = 10, y = 20\nAfter swapping: x = 30, y = 10","Before swapping: x = 10, y = 20\nAfter swapping: x = 20, y = 10","Before swapping: x = 30, y = 20\nAfter swapping: x = 20, y = 10","Before swapping: x = 10, y = 20\nAfter swapping: x = 20, y = 90",B
65e952e8a37212ec0ec8f546,"#include <stdio.h>\n#include <stdlib.h>\n\nstruct Interval {\n    int start;\n    int end;\n};\n\nint compareIntervals(const void* a, const void* b) {\n    struct Interval* ia = (struct Interval*)a;\n    struct Interval* ib = (struct Interval*)b;\n    return ia->start - ib->start;\n}\n\nvoid mergeIntervals(struct Interval arr[], int n) {\n    if (n <= 0) {\n        return;\n    }\n\n    qsort(arr, n, sizeof(struct Interval), compareIntervals);\n\n    int index = 0;\n\n    for (int i = 1; i < n; i++) {\n        if (arr[index].end < arr[i].start) {\n            index++;\n            arr[index] = arr[i];\n        } else if (arr[index].end < arr[i].end) {\n            arr[index].end = arr[i].end;\n        }\n    }\n\n    printf(""The merged intervals are: "");\n    for (int i = 0; i <= index; i++) {\n        printf(""[%d,%d] "", arr[i].start, arr[i].end);\n    }\n}\n\nint main() {\n    struct Interval arr[] = { {1, 3}, {2, 6}, {8, 10}, {15, 18} };\n    int n = sizeof(arr) / sizeof(arr[0]);\n\n    mergeIntervals(arr, n);\n\n    return 0;\n}","The merged intervals are: [1,6] [8,10] [15,18]","The merged intervals are: [1,8] [6,10] [15,18]","The merged intervals are: [1,6] [8,15] [10,18]","The merged intervals are: [1,6] [15,10] [15,8]","The merged intervals are: [1,6] [8,10] [15,18]",D
65e952e8a37212ec0ec8f547,"#include <stdio.h>\n#include <stdlib.h>\nstruct Node {\n    int data;\n    struct Node* next;\n};\nvoid insertAtBeginning(struct Node** head_ref, int new_data) {\n    // Allocate memory for new node\n    struct Node* new_node = (struct Node*)malloc(sizeof(struct Node));\n   \n      new_node->data = new_data;\n      new_node->next = *head_ref;\n  \n    *head_ref = new_node;\n}\nvoid displayList(struct Node* node) {\n    while (node != NULL) {\n        printf(""%d "", node->data);\n        node = node->next;\n    }\n    printf(""\n"");\n}\nvoid freeList(struct Node* head) {\n    struct Node* temp;\n    while (head != NULL) {\n        temp = head;\n        head = head->next;\n        free(temp);\n    }\n}\n\nint main() {\n    struct Node* head = NULL;\n    insertAtBeginning(&head, 5);\n    insertAtBeginning(&head, 10);\n    insertAtBeginning(&head, 15);\n    printf(""Linked List: "");\n    displayList(head);\n    freeList(head);\n    \n    return 0;\n}",Linked List: 15 10 5,Linked List: 10 15 5,Linked List: 5 15 10,Linked List: 5 10 15,Linked List: 15 10 5,D
65e952e8a37212ec0ec8f548,"#include <stdio.h>\n\nint main() {\n    int num = 10;\n    int *ptr;\n    ptr = &num;\n    printf(""Value of num: %d\n"", *ptr);\n    *ptr = 20;\n    printf(""New value of num: %d\n"", num);\n\n    return 0;\n}",Value of num: 10\nNew value of num: 20,Value of num: 10\nNew value of num: 20,Value of num: 20\nNew value of num: 10,Value of num: 10\nNew value of num: 10,Value of num: 20\nNew value of num: 20,A
65e952e8a37212ec0ec8f549,"#include <stdio.h>\n#include <stdlib.h>\n\nint main() {\n    int n, i, *arr;\n    printf(""Enter the size of the array: "");\n    scanf(""%d"", &n);\n    arr = (int *)malloc(n * sizeof(int));\n    if (arr == NULL) {\n        printf(""Memory allocation failed\n"");\n        return 1; \n    }\n    printf(""Enter %d elements:\n"", n);\n    for (i = 0; i < n; i++) {\n        scanf(""%d"", &arr[i]);\n    }\n    printf(""Elements of the array: "");\n    for (i = 0; i < n; i++) {\n        printf(""%d "", arr[i]);\n    }\n    printf(""\n"");\n    free(arr);\n\n    return 0;\n}",Enter the size of the array: 4\nEnter 4 elements:\nsu@m\nElements of the array: 0 0 0 0,Enter the size of the array: 4\nEnter 4 elements:\nsu@m\nElements of the array: s u @ m,Enter the size of the array: 4\nEnter 4 elements:\nsu@m\nElements of the array: 0 0 0 0,Enter the size of the array: 4\nEnter 4 elements:\nsu@m\nElements of the array: s @ m u,Enter the size of the array: 4\nEnter 4 elements:\nsu@m\nElements of the array: @ s u m,B
65e952e8a37212ec0ec8f54a,"#include <stdio.h>\nint binarySearch(int arr[], int left, int right, int target) {\n    while (left <= right) {\n        int mid = left + (right - left) / 2;\n        if (arr[mid] == target)\n            return mid;\n        if (arr[mid] < target)\n            left = mid + 1;\n        else\n            right = mid - 1;\n    }\n    return -1;\n}\n\nint main() {\n    int arr[] = {2, 3, 4, 10, 40, 6, 7};\n    int n = sizeof(arr) / sizeof(arr[0]);\n    int target = 10;\n    int result = binarySearch(arr, 0, n - 1, target);\n    if (result == -1)\n        printf(""Element is not present in array\n"");\n    else\n        printf(""Element is present at index %d\n"", result);\n    return 0;\n}",Element is present at index 3,Element is not present in the array,Element is present at index 8,Element is present at index 2,Element is present at index 3,D
65e952e8a37212ec0ec8f54b,"#include <stdio.h>\n#include <string.h>\n\nint main() {\n    char source[] = ""Hi This is panimalar Information technology!"";\n    char destination[20];\n    strcpy(destination, source);\n    printf(""Destination string: %s\n"", destination);\n    int length = strlen(destination);\n    printf(""Length of destination string: %d\n"", length);    return 0;\n}",Length of destination string: 44,Length of destination string: 44,Length of destination string: 43,Length of destination string: 41,Length of destination string: 34,A
65e952e8a37212ec0ec8f54c,"int ages[] = {20, 22, 18, 35, 48, 26, 87, 70};\nint length = sizeof(ages) / sizeof(ages[0]);\nint lowestAge = ages[0];\nfor (int i = 0; i < length; i++) {\n  if (lowestAge > ages[i]) {\n    lowestAge = ages[i];\n  }\n}",The lowest age in the array is: 18,The lowest age in the array is: 20,The lowest age in the array is: 48,The lowest age in the array is: 18,The lowest age in the array is: 35,C
