_id,question,output,A,B,C,D,answer
65e952a8a37212ec0ec8f517,"expression = """"3**2+67*63/45""""\n\nexpression = expression.replace('x', '*')\n\nresult = eval(''.join(char for char in expression if char.isdigit() or char in ['+', '-', '*', '/', '.']))\n\nprint(""""Output:"""", result)",102.8,102.8,102.7,102.3,102.5,A
65e952a8a37212ec0ec8f518,"from functools import reduce\n\nnumbers = range(1, 11)\nproduct_of_evens = reduce(lambda x, y: x * y, [num for num in numbers if num % 2 == 0])\nprint(product_of_evens)",3840,3838,3840,3845,3847,B
65e952a8a37212ec0ec8f519,"def matrix_multiply(a, b):\n    return [\n        [a[0][0]*b[0][0] + a[0][1]*b[1][0], a[0][0]*b[0][1] + a[0][1]*b[1][1]],\n        [a[1][0]*b[0][0] + a[1][1]*b[1][0], a[1][0]*b[0][1] + a[1][1]*b[1][1]]\n    ]\n\ndef matrix_power(matrix, exponent):\n    result = [[1, 0], [0, 1]]  # Identity matrix\n    while exponent > 0:\n        if exponent % 2 == 1:\n            result = matrix_multiply(result, matrix)\n        matrix = matrix_multiply(matrix, matrix)\n        exponent //= 2\n    return result\n\ndef fibonacci(n):\n    if n == 0:\n        return 0\n    base_matrix = [[1, 1], [1, 0]]\n    result_matrix = matrix_power(base_matrix, n - 1)\n    return result_matrix[0][0]\n\n# Calculate the 10th Fibonacci number\nnth_fibonacci = fibonacci(10)\nprint(""""10th Fibonacci number:"""", nth_fibonacci)",55,52,53,54,55,D
65e952a8a37212ec0ec8f51a,"import math\n\ndef generate_numbers(n):\n    numbers = []\n    for i in range(2, n+2):\n        numbers.append(int(math.sqrt(i**3) + 0.5)) \n    return numbers\nresult = generate_numbers(5)\nprint(result)","3,5,8,11,15","3,5,8,11,15","4,5,8,11,15","3,5,8,12,15","3,5,9,11,15",A
65e952a8a37212ec0ec8f51b,r = lambda q: q * 2\ns = lambda q: q * 3\na = lambda q: q * 4\nb = lambda q: q * 5\nc = lambda q: q * 6\nd = lambda q: q * 7\nx = 2\nx = r(x) \nx = s(x) \nx = r(x)\nx = a(x)\nx = b(x)\nx = c(x)\nx = d(x)\nprint (x),20160,20161,20160,20165,20162,B
65e952a8a37212ec0ec8f51c,a = True\nb = False\nc = False\n  \nif not a or b: \n    print (1) \nelif not a or not b and c: \n    print (2) \nelif not a or b or not b and a: \n    print (3) \nelse: \n    print (4),3,4,5,2,3,D
65e952a8a37212ec0ec8f51d,"count = 1 \n  \ndef doThis(): \n  \n    global count \n  \n    for i in (1, 2, 3):  \n        count += 1\n  \ndoThis() \n  \nprint (count)",4,2,9,4,8,C
65e952a8a37212ec0ec8f51e,"class Pani: \n    def __init__(self, id): \n        self.id = id\n  \nmanager = Pani(100) \n  \nmanager.__dict__['life'] = 49\n  \nprint (manager.life + len(manager.__dict__))",51,51,52,53,54,A
65e952a8a37212ec0ec8f51f,"nameList = ['Harsh', 'Pratik', 'Bob', 'Dhruv'] \nprint(nameList[1][-1])",k,k,o,B,s,A
65e952a8a37212ec0ec8f520,"def thrive(n):\n if n % 15 == 0:\n   print(""thrive"", end = “ ”)\n elif n % 3 != 0 and n % 5 != 0:\n   print(""neither"", end = “ ”)\n elif n % 3 == 0:\n   print(""three"", end = “ ”)\n elif n % 5 == 0:\n   print(""five"", end = “ ”)\nthrive(35)\nthrive(56)\nthrive(15)\nthrive(39)",five neither thrive three,three neither thrive three,five neither thrive five,five neither thrive three,three neither thrive five,C
65e952a8a37212ec0ec8f521,"def gfgFunction(): \n    ""Panimalar is the Best college in Chennai"" \n    return 1\nprint (gfgFunction.__doc__[17:21])",Best,Panimalar,the,Best,Chennai,C
65e952a8a37212ec0ec8f522,"check1 = ['Learn', 'Quiz', 'Practice', 'Contribute'] \ncheck2 = check1 \ncheck3 = check1[:] \n\ncheck2[0] = 'Code'\ncheck3[1] = 'Mcq'\n\ncount = 0\nfor c in (check1, check2, check3): \n        if c[0] == 'Code': \n                count += 1\n        if c[1] == 'Mcq': \n                count += 10\nprint (count)",12,9,10,11,12,D
65e952a8a37212ec0ec8f523,"word = ""PytHon ProgrAmmiNg""\nn = len(word)\nword1 = word.upper()\nword2 = word.lower()\nconverted_word = """"\nfor i in range(n):\n if i % 2 == 0:\n   converted_word += word2[i]\n else:\n   converted_word += word1[i]\nprint(converted_word)",pYtHoN PrOgRaMmInG,PyThOn pRoGrAmInG,pYtHoN PrOgRaMmInG,pYtHon PrOgRaMmInG,pYtHoN ProgRaMmInG,B
65e952a8a37212ec0ec8f524,"def f(value, values):\n    v = 1\n    values[0] = 44\nt = 3\nv = [1, 2, 3]\nf(t, v)\nprint(t,"","", v[0])","3,44","1,3","44,3","3,1","3,44",D
65e952a8a37212ec0ec8f525,"def num(arr):\n    sorted_arr = sorted(arr) \n    m = sum(sorted_arr[:4])\n    n = sum(sorted_arr[1:])  \n    return m , n\n\ndef main():\n    arr = [1, 3, 5, 7, 9]\n    m, n = num(arr)\n    print(m , n)\n\nif __name__ == ""__main__"":\n    main()",16 24,16 24,27 15,15 27,24 16,A
65e952a8a37212ec0ec8f526,"def is_disarium_number(num):\n    num_str = str(num)\n    digit_sum = 0\n    for i, digit_char in enumerate(num_str, start=1):\n        digit = int(digit_char)\n        digit_sum += digit ** i\n    if digit_sum == num:\n        return True\n    else:\n        return False\n\ndef main():\n    num = 89\n    print(is_disarium_number(num))\nif __name__ == ""__main__"":\n    main()",TRUE,FALSE,TRUE,Neither TRUE nor FALSE,both TRUE and FALSE,B
65e952a8a37212ec0ec8f527,"def number(num):\n    num_str = str(num)\n    digit_sum = sum(int(digit) for digit in num_str)\n    if num % digit_sum == 0:\n        return num\n    else:\n        return False\n\ndef main():\n    num = 19\n    print(number(num))\n\nif __name__ == ""__main__"":\n    main()",FALSE,both TRUE and FALSE,Neither TRUE nor FALSE,FALSE,TRUE,C
65e952a8a37212ec0ec8f528,"def convert(x):\n    if x % 15 == 0:\n        return ""FizzBuzz""\n    elif x % 3 == 0:\n        return ""Fizz""\n    elif x % 5 == 0:\n        return ""Buzz""\n    else:\n        return str(x)\n\ndef main():\n    for i in range(1):\n        print(convert(i))\n\nif __name__ == ""__main__"":\n    main()",FizzBuzz,FizzBuzz,BuFizzzz,FiBuzzzz,BuzzFizz,A
65e952a8a37212ec0ec8f529,"from enum import Enum\nclass Machine(Enum):\n    AUTO = ""Truck""\n    MEDICAL = ""Scanner""\n\n    def __init__(self, type):\n        self._type = type\n\n    def set_type(self, type):\n        self._type = type\n\n    def get_type(self):\n        return self._type\n\nif __name__ == ""__main__"":\n    Machine.AUTO.set_type(""Sedan"")\n    for p in Machine:\n        print(p.name + "": "" + p.get_type(), end="" "")",AUTO: Sedan MEDICAL: Scanner,AUTO: Sedan MEDICAL: Scanner,MEDICAL: Sedan AUTO: Scanner,AUTO: Scanner MEDICAL: Sedan,Error,A
65e952a8a37212ec0ec8f52a,"txt1 = ""PPQRRRSTT""\ni = 0\nwhile i < len(txt1):\n    x = txt1[i]\n    j = 0\n    i += 1\n    while j < len(txt1):\n        y = txt1[j]\n        if i != j and y == x:\n            txt1 = txt1[:j] + txt1[j+1:]\n        j += 1\nprint(txt1)",PRST,PQST,PRST,QRST,PQRS,B
65e952a8a37212ec0ec8f52b,"map = {}\nkeys = [""s"", ""p"", ""Q"", ""R""]\nvalues = [""senate"", ""people"", ""of"", ""rome""]\n\nfor i in range(len(keys)):\n    map[keys[i]] = values[i]\n\ndef main():\n    keys.clear()\n    values.clear()\n    print( ""Map:"", len(map))\n\nif __name__ == ""__main__"":\n    main()",Map: 4,Map: 1,Map: 2,Map: 3,Map: 4,D
65e952a8a37212ec0ec8f52c,"class Plant:\n    print(""Pour water"", end="" "")\n    \ndef feed(p):\n    if isinstance(p, Tulip):\n        print(""Take extra care"")\n    p = None\n\nclass Tulip(Plant):\n    print(""Flowers"", end="" "")\n\ndef main():\n    plant = Tulip()\n    feed(plant)\n     \nif __name__ == ""__main__"":\n    main()",Pour water Flowers Take extra care,Take extra care Pour water  Flowers,Take extra care Pour water Flowers,Pour water Flowers Take extra care,Pour water Take extra care Flowers,C
65e952a8a37212ec0ec8f52d,"class ConSuper:\n    def __init__(self):\n        self.__init__(2)\n        print(""num:"", end="""")\n    def __init__(self, a):\n        print(a*9)\n        \nclass ConSub(ConSuper):\n    def __init__(self):\n        self.__init__(4)\n        print(""num:"",end="""")\n    def __init__(self, a):\n        print(a)\n\nif __name__ == ""__main__"":\n    ConSub(20)",20,20,36,45,39,A
65e952a8a37212ec0ec8f52e,"class GameObject:\n    def move(self, x, y):\n        print(""Move GameObject"")\n        return [x + 10, y + 10]\n\nclass Avatar(GameObject):\n    def move(self, x, y):\n        print(""Move Character"", end ="" "")\n        return super().move(int(x), int(y))\n\nif __name__ == ""__main__"":\n    character = Avatar()\n    character.move(10.0, 10.0)",Move Character Move GameObject,Move Character Move ObjectGame,Move Character Move GameObject,Move Character GameObject Move,Move Character ObjectGame Move,B
